TIME,DEPTH
0,0
0.01,0
0.02,20.3229
0.03,20.3229
0.04,20.3229
0.05,20.3229
0.06,20.3229
0.07,20.3229
0.08,20.3229
0.09,20.3229
0.1,20.3229
0.11,20.3229
0.12,20.3275
0.13,20.3275
0.14,20.3275
0.15,20.3275
0.16,20.3275
0.17,20.3275
0.18,20.3275
0.19,20.3275
0.2,20.3275
0.21,20.3275
0.22,20.332
0.23,20.332
0.24,20.332
0.25,20.332
0.26,20.332
0.27,20.332
0.28,20.332
0.29,20.332
0.3,20.332
0.31,20.332
0.32,20.3363
0.33,20.3363
0.34,20.3363
0.35,20.3363
0.36,20.3363
0.37,20.3363
0.38,20.3363
0.39,20.3363
0.4,20.3363
0.41,20.3363
0.42,20.3404
0.43,20.3404
0.44,20.3404
0.45,20.3404
0.46,20.3404
0.47,20.3404
0.48,20.3404
0.49,20.3404
0.5,20.3404
0.51,20.3404
0.52,20.3443
0.53,20.3443
0.54,20.3443
0.55,20.3443
0.56,20.3443
0.57,20.3443
0.58,20.3443
0.59,20.3443
0.6,20.3443
0.61,20.3443
0.62,20.3479
0.63,20.3479
0.64,20.3479
0.65,20.3479
0.66,20.3479
0.67,20.3479
0.68,20.3479
0.69,20.3479
0.7,20.3479
0.71,20.3479
0.72,20.3514
0.73,20.3514
0.74,20.3514
0.75,20.3514
0.76,20.3514
0.77,20.3514
0.78,20.3514
0.79,20.3514
0.8,20.3514
0.81,20.3514
0.82,20.3545
0.83,20.3545
0.839999,20.3545
0.849999,20.3545
0.859999,20.3545
0.869999,20.3545
0.879999,20.3545
0.889999,20.3545
0.899999,20.3545
0.909999,20.3545
0.919999,20.3573
0.929999,20.3573
0.939999,20.3573
0.949999,20.3573
0.959999,20.3573
0.969999,20.3573
0.979999,20.3573
0.989999,20.3573
0.999999,20.3573
1.01,20.3573
1.02,20.3597
1.03,20.3597
1.04,20.3597
1.05,20.3597
1.06,20.3597
1.07,20.3597
1.08,20.3597
1.09,20.3597
1.1,20.3597
1.11,20.3597
1.12,20.3597
1.13,20.3616
1.14,20.3616
1.15,20.3616
1.16,20.3616
1.17,20.3616
1.18,20.3616
1.19,20.3616
1.2,20.3616
1.21,20.3616
1.22,20.3631
1.23,20.3631
1.24,20.3631
1.25,20.3631
1.26,20.3631
1.27,20.3631
1.28,20.3631
1.29,20.3631
1.3,20.3631
1.31,20.3631
1.32,20.364
1.33,20.364
1.34,20.364
1.35,20.364
1.36,20.364
1.37,20.364
1.38,20.364
1.39,20.364
1.4,20.364
1.41,20.364
1.42,20.3644
1.43,20.3644
1.44,20.3644
1.45,20.3644
1.46,20.3644
1.47,20.3644
1.48,20.3644
1.49,20.3644
1.5,20.3644
1.51,20.3644
1.52,20.3641
1.53,20.3641
1.54,20.3641
1.55,20.3641
1.56,20.3641
1.57,20.3641
1.58,20.3641
1.59,20.3641
1.6,20.3641
1.61,20.3641
1.62,20.3631
1.63,20.3631
1.64,20.3631
1.65,20.3631
1.66,20.3631
1.67,20.3631
1.68,20.3631
1.69,20.3631
1.7,20.3631
1.71,20.3631
1.72,20.3614
1.73,20.3614
1.74,20.3614
1.75,20.3614
1.76,20.3614
1.77,20.3614
1.78,20.3614
1.79,20.3614
1.8,20.3614
1.81,20.3614
1.82,20.359
1.83,20.359
1.84,20.359
1.85,20.359
1.86,20.359
1.87,20.359
1.88,20.359
1.89,20.359
1.9,20.359
1.91,20.359
1.92,20.3557
1.93,20.3557
1.94,20.3557
1.95,20.3557
1.96,20.3557
1.97,20.3557
1.98,20.3557
1.99,20.3557
2,20.3557
2.01,20.3557
2.02,20.3516
2.03,20.3516
2.04,20.3516
2.05,20.3516
2.06,20.3516
2.07,20.3516
2.08,20.3516
2.09,20.3516
2.1,20.3516
2.11,20.3516
2.12,20.3466
2.13,20.3466
2.14,20.3466
2.15,20.3466
2.16,20.3466
2.17,20.3466
2.18,20.3466
2.19,20.3466
2.2,20.3466
2.21,20.3466
2.22,20.3408
2.23,20.3408
2.24,20.3408
2.25,20.3408
2.26,20.3408
2.27,20.3408
2.28,20.3408
2.29,20.3408
2.3,20.3408
2.31,20.3408
2.32,20.334
2.33,20.334
2.34,20.334
2.35,20.334
2.36,20.334
2.37,20.334
2.38,20.334
2.39,20.334
2.4,20.334
2.41,20.334
2.42,20.3263
2.43,20.3263
2.44,20.3263
2.45,20.3263
2.46,20.3263
2.47,20.3263
2.48,20.3263
2.49,20.3263
2.5,20.3263
2.51,20.3263
2.52,20.3176
2.53,20.3176
2.54,20.3176
2.55,20.3176
2.56,20.3176
2.57,20.3176
2.58,20.3176
2.59,20.3176
2.6,20.3176
2.61,20.3176
2.62,20.308
2.63,20.308
2.64,20.308
2.65,20.308
2.66,20.308
2.67,20.308
2.68,20.308
2.69,20.308
2.7,20.308
2.71,20.308
2.72,20.2974
2.73,20.2974
2.74,20.2974
2.75,20.2974
2.76,20.2974
2.77,20.2974
2.78,20.2974
2.79,20.2974
2.8,20.2974
2.81,20.2974
2.82,20.2858
2.83,20.2858
2.84,20.2858
2.85,20.2858
2.86,20.2858
2.87,20.2858
2.88,20.2858
2.89,20.2858
2.9,20.2858
2.91,20.2858
2.92,20.2732
2.93,20.2732
2.94,20.2732
2.95,20.2732
2.96,20.2732
2.97,20.2732
2.98,20.2732
2.99,20.2732
3,20.2732
3.01,20.2732
3.02,20.2596
3.03,20.2596
3.04,20.2596
3.05,20.2596
3.06,20.2596
3.07,20.2596
3.08,20.2596
3.09,20.2596
3.1,20.2596
3.11,20.2596
3.12,20.2451
3.13,20.2451
3.14,20.2451
3.15,20.2451
3.16,20.2451
3.17,20.2451
3.18,20.2451
3.19,20.2451
3.2,20.2451
3.21,20.2451
3.22,20.2296
3.23,20.2296
3.24,20.2296
3.25,20.2296
3.26,20.2296
3.27,20.2296
3.28,20.2296
3.29,20.2296
3.3,20.2296
3.31,20.2296
3.32,20.2132
3.33,20.2132
3.34,20.2132
3.35,20.2132
3.36,20.2132
3.37,20.2132
3.38,20.2132
3.39,20.2132
3.4,20.2132
3.41,20.2132
3.42,20.1958
3.43,20.1958
3.44,20.1958
3.45,20.1958
3.46,20.1958
3.47,20.1958
3.48,20.1958
3.49,20.1958
3.5,20.1958
3.51,20.1958
3.52,20.1775
3.53,20.1775
3.54,20.1775
3.55,20.1775
3.56,20.1775
3.57,20.1775
3.58,20.1775
3.59,20.1775
3.6,20.1775
3.61,20.1775
3.62,20.1583
3.63,20.1583
3.64,20.1583
3.65,20.1583
3.66,20.1583
3.67,20.1583
3.68,20.1583
3.69,20.1583
3.7,20.1583
3.71,20.1583
3.72,20.1382
3.73,20.1382
3.74,20.1382
3.75,20.1382
3.76,20.1382
3.77,20.1382
3.78,20.1382
3.79,20.1382
3.8,20.1382
3.81,20.1382
3.82,20.1172
3.83,20.1172
3.84,20.1172
3.85,20.1172
3.86,20.1172
3.87,20.1172
3.88,20.1172
3.89,20.1172
3.9,20.1172
3.91,20.1172
3.92,20.0954
3.93,20.0954
3.94,20.0954
3.95,20.0954
3.96,20.0954
3.97,20.0954
3.98,20.0954
3.99,20.0954
4,20.0954
4.01,20.0954
4.02,20.0728
4.03,20.0728
4.04,20.0728
4.05,20.0728
4.06,20.0728
4.07,20.0728
4.08,20.0728
4.09,20.0728
4.1,20.0728
4.11,20.0728
4.12,20.0494
4.13,20.0494
4.14,20.0494
4.15,20.0494
4.16,20.0494
4.17,20.0494
4.18,20.0494
4.19,20.0494
